time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.041,0.0,0.06349079949930621
0.0005,0.041,0.0,0.06349079949930621
0.001,0.041,0.0,0.06349079949930621
0.0015,0.041,0.0,0.06349079949930923
0.002,0.041,0.0,0.06349079949931229
0.0025,0.041,0.0,0.06349079949931229
0.003,0.041,0.0,0.06349079949931229
0.0035,0.041,0.0,0.06349079949931229
0.004,0.041,0.0,0.06349079949931533
0.0045000000000000005,0.041,0.0,0.06349079949931836
0.005,0.041,0.0,0.06349079949931836
0.0055,0.041,0.0,0.06349079949931836
0.006,0.041,0.0,0.06349079949931836
0.006500000000000001,0.041,0.0,0.06349079949932139
0.007,0.041,0.0,0.06349079949932443
0.0075,0.041,0.0,0.06349079949932443
0.008,0.041,0.0,0.06349079949932443
0.0085,0.041,0.0,0.06349079949932443
0.009000000000000001,0.041,0.0,0.06349079949932747
0.0095,0.041,0.0,0.06349079949933051
0.01,0.041,0.0,0.06349079949933051
0.0105,0.041,0.0,0.06349079949933051
0.011,0.041,0.0,0.06349079949933051
0.0115,0.041,0.0,0.06349079949933355
0.012,0.041,0.0,0.06349079949933355
0.0125,0.041,0.0,0.06349079949933659
0.013000000000000001,0.041,0.0,0.06349079949933659
0.0135,0.041,0.0,0.06349079949933659
0.014,0.041,0.0,0.06349079949933963
0.0145,0.041,0.0,0.06349079949933963
0.015,0.041,0.0,0.06349079949933963
0.0155,0.041,0.0,0.06349079949934266
0.016,0.041,0.0,0.06349079949934266
0.0165,0.041,0.0,0.0634907994993457
0.017,0.041,0.0,0.0634907994993457
0.0175,0.041,0.0,0.06349079949934874
0.018000000000000002,0.041,0.0,0.06349079949934874
0.0185,0.041,0.0,0.06349079949934874
0.019,0.041,0.0,0.06349079949934874
0.0195,0.041,0.0,0.06349079949934874
0.02,0.041,0.0,0.06349079949934874
0.0205,0.041,0.0,0.06349079949934874
0.021,0.041,0.0,0.06349079949934874
0.021500000000000002,0.041,0.0,0.06349079949935177
0.022,0.041,0.0,0.06349079949935177
0.0225,0.041,0.0,0.06349079949935481
0.023,0.041,0.0,0.06349079949935481
0.0235,0.041,0.0,0.06349079949935481
0.024,0.041,0.0,0.06349079949935481
0.0245,0.041,0.0,0.06349079949935481
0.025,0.041,0.0,0.06349079949935481
0.025500000000000002,0.041,0.0,0.06349079949935481
0.026000000000000002,0.041,0.0,0.06349079949935481
0.0265,0.041,0.0,0.06349079949935481
0.027,0.041,0.0,0.06349079949935785
0.0275,0.041,0.0,0.06349079949935785
0.028,0.041,0.0,0.0634907994993609
0.0285,0.041,0.0,0.0634907994993609
0.029,0.041,0.0,0.0634907994993609
0.029500000000000002,0.041,0.0,0.0634907994993609
0.03,0.041,0.0,0.0634907994993609
0.0305,0.041,0.0,0.0634907994993609
0.031,0.041,0.0,0.0634907994993609
0.0315,0.041,0.0,0.0634907994993609
0.032,0.041,0.0,0.06349079949936393
0.0325,0.041,0.0,0.06349079949936393
0.033,0.041,0.0,0.06349079949936696
0.0335,0.041,0.0,0.06349079949936696
0.034,0.041,0.0,0.06349079949936696
0.0345,0.041,0.0,0.06349079949936696
0.035,0.041,0.0,0.06349079949936696
0.035500000000000004,0.041,0.0,0.06349079949936696
0.036000000000000004,0.041,0.0,0.06349079949936696
0.0365,0.041,0.0,0.06349079949936696
0.037,0.041,0.0,0.06349079949937
0.0375,0.041,0.0,0.06349079949937
0.038,0.041,0.0,0.06349079949937304
0.0385,0.041,0.0,0.06349079949937304
0.039,0.041,0.0,0.06349079949937304
0.0395,0.041,0.0,0.06349079949937304
0.04,0.041,0.0,0.06349079949937304
0.0405,0.041,0.0,0.06349079949937304
0.041,0.041,0.0,0.06349079949937304
0.0415,0.041,0.0,0.06349079949937304
0.042,0.041,0.0,0.06349079949937608
0.0425,0.041,0.0,0.06349079949937608
0.043000000000000003,0.041,0.0,0.06349079949937912
0.043500000000000004,0.041,0.0,0.06349079949937912
0.044,0.041,0.0,0.06349079949937912
0.0445,0.041,0.0,0.06349079949937912
0.045,0.041,0.0,0.06349079949937912
0.0455,0.041,0.0,0.06349079949937912
0.046,0.041,0.0,0.06349079949937912
0.0465,0.041,0.0,0.06349079949937912
0.047,0.041,0.0,0.06349079949938215
0.0475,0.041,0.0,0.06349079949938215
0.048,0.041,0.0,0.06349079949938215
0.0485,0.041,0.0,0.06349079949938519
0.049,0.041,0.0,0.06349079949938519
0.0495,0.041,0.0,0.06349079949938519
0.05,0.041,0.0,0.06349079949938519
0.0505,0.041,0.0,0.06349079949938519
0.051000000000000004,0.041,0.0,0.06349079949938519
0.051500000000000004,0.041,0.0,0.06349079949938519
0.052000000000000005,0.041,0.0,0.06349079949938519
0.0525,0.041,0.0,0.06349079949938519
0.053,0.041,0.0,0.06349079949938519
0.0535,0.041,0.0,0.06349079949938519
0.054,0.041,0.0,0.06349079949938519
0.0545,0.041,0.0,0.06349079949938519
0.055,0.041,0.0,0.06349079949938519
0.0555,0.041,0.0,0.06349079949938519
0.056,0.041,0.0,0.06349079949938519
0.0565,0.041,0.0,0.06349079949938519
0.057,0.041,0.0,0.06349079949938519
0.0575,0.041,0.0,0.06349079949938519
0.058,0.041,0.0,0.06349079949938519
0.0585,0.041,0.0,0.06349079949938519
0.059000000000000004,0.041,0.0,0.06349079949938519
0.059500000000000004,0.041,0.0,0.06349079949938519
0.06,0.041,0.0,0.06349079949938519
0.0605,0.041,0.0,0.06349079949938519
0.061,0.041,0.0,0.06349079949938519
0.0615,0.041,0.0,0.06349079949938519
0.062,0.041,0.0,0.06349079949938519
0.0625,0.041,0.0,0.06349079949938519
0.063,0.041,0.0,0.06349079949938519
0.0635,0.041,0.0,0.06349079949938519
0.064,0.041,0.0,0.06349079949938519
0.0645,0.041,0.0,0.06349079949938519
0.065,0.041,0.0,0.06349079949938519
0.0655,0.041,0.0,0.06349079949938519
0.066,0.041,0.0,0.06349079949938519
0.0665,0.041,0.0,0.06349079949938519
0.067,0.041,0.0,0.06349079949938519
0.0675,0.041,0.0,0.06349079949938519
0.068,0.041,0.0,0.06349079949938519
0.0685,0.041,0.0,0.06349079949938519
0.069,0.041,0.0,0.06349079949938519
0.0695,0.041,0.0,0.06349079949938519
0.07,0.041,0.0,0.06349079949938519
0.07050000000000001,0.041,0.0,0.06349079949938519
0.07100000000000001,0.041,0.0,0.06349079949938519
0.07150000000000001,0.041,0.0,0.06349079949938519
0.07200000000000001,0.041,0.0,0.06349079949938519
0.0725,0.041,0.0,0.06349079949938519
0.073,0.041,0.0,0.06349079949938519
0.0735,0.041,0.0,0.06349079949938519
0.074,0.041,0.0,0.06349079949938519
0.0745,0.041,0.0,0.06349079949938519
0.075,0.041,0.0,0.06349079949938519
0.0755,0.041,0.0,0.06349079949938519
0.076,0.041,0.0,0.06349079949938519
0.0765,0.041,0.0,0.06349079949938519
0.077,0.041,0.0,0.06349079949938519
0.0775,0.041,0.0,0.06349079949938519
0.078,0.041,0.0,0.06349079949938519
0.0785,0.041,0.0,0.06349079949938519
0.079,0.041,0.0,0.06349079949938519
0.0795,0.041,0.0,0.06349079949938519
0.08,0.041,0.0,0.06349079949938519
